tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier
N3PJAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N3PLAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N933AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N3PGAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N906AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N910AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N932AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N3PUAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N904AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N8AWAA,BOEING,787-8,787-8,2017.0,2017.0,GE,GENX-1B70,AA
N3PKAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N3PEAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N902AA,AIRBUS,A321-231,A321,2017.0,2017.0,IAE,V2533-A5,AA
N8LNAA,BOEING,787-9,787-9,2017.0,2017.0,GE,GENX-1B74/75/,AA
N3RAAA,BOEING,737-8,737-8,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N3RBAA,BOEING,737-8,737-8,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N8LJAA,BOEING,787-9,787-9,2017.0,2017.0,GE,GENX-1B74/75/,AA
N8LLAA,BOEING,787-9,787-9,2017.0,2017.0,GE,GENX-1B74/75/,AA
N8LHAA,BOEING,787-9,787-9,2017.0,2017.0,GE,GENX-1B74/75/,AA
N8LKAA,BOEING,787-9,787-9,2017.0,2017.0,GE,GENX-1B74/75/,AA
N8LEAA,BOEING,787-9,787-9,2017.0,2017.0,GE,GENX-1B74/75/,AA
N8LGAA,BOEING,787-9,787-9,2017.0,2017.0,GE,GENX-1B74/75/,AA
N8LMAA,BOEING,787-9,787-9,2017.0,2017.0,GE,GENX-1B74/75/,AA
N8AVAA,BOEING,787-8,787-8,2017.0,2017.0,GE,GENX-1B70,AA
N3PWAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N3PVAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N3PXAA,BOEING,737-823,737-800,2017.0,2017.0,CFM INTL,CFM56-7B,AA
N8LPAA,BOEING,787-9,787-9,2017.0,2017.0,GE,GENX-1B74/75/,AA
N376AA,BOEING,767-323ER,767-300ER,1992.0,2017.0,GE,CF6-80C2,AA
N678AA,AIRBUS,A320-232,A320,2005.0,2017.0,IAE,V2527-A5,AA
N675AA,AIRBUS,A320-232,A320,2005.0,2017.0,IAE,V2527-A5,AA
N519AA,AIRBUS,A321-231,A321,2009.0,2015.0,IAE,V2533-A5,AA
N544AA,AIRBUS,A321-231,A321,2011.0,2015.0,IAE,V2533-A5,AA
N508AA,AIRBUS,A321-231,A321,2008.0,2015.0,IAE,V2533-A5,AA
N539AA,AIRBUS,A321-231,A321,2009.0,2015.0,IAE,V2533-A5,AA
N886AA,AIRBUS,A321-231,A321,2016.0,2016.0,IAE,V2533-A5,AA
N365AA,BOEING,767-323ER,767-300ER,1988.0,1988.0,GE,CF6-80C2,AA
N013AA,AIRBUS,A319-115,A319,2013.0,2013.0,CFM INTL,CFM56-5B,AA
N416SW,BOMBARDIER INC,CL-600-2B19,CL-600,1995.0,2016.0,GE,CF34-3,OO
N492SW,BOMBARDIER INC,CL-600-2B19,CL-600,1997.0,2007.0,GE,CF34-3,OO
