tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier
N3754A,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL
N923DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2017.0,P & W,JT8D-219,DL
N551NW,BOEING,757-251,757-200,2001.0,2009.0,P & W,PW2037,DL
N334NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL
N675DL,BOEING,757-232,757-200,1992.0,2018.0,P & W,PW2037,DL
N309US,AIRBUS,A320-211,A320,1990.0,2009.0,CFM INTL,CFM56-5A,DL
N940DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL
N920DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2018.0,P & W,JT8D-219,DL
N357NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL
N199DN,BOEING,767-332ER,767-300ER,1998.0,1998.0,P & W,PW4060,DL
N943AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL
N3733Z,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL
N925AT,BOEING,717-200,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,DL
N973DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2017.0,P & W,JT8D-219,DL
N907DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL
N905DA,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1995.0,1995.0,IAE,V2528-D5,DL
N927DN,BOEING,MD-90-30,MD-90-30,1999.0,2010.0,IAE,V2528-D5,DL
N302NB,AIRBUS,A319-114,A319,1999.0,1999.0,CFM INTL,CFM56-5A,DL
N966DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2011.0,P & W,JT8D-219,DL
N341NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL
N970AT,BOEING,717-200,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,DL
N328NW,AIRBUS,A320-211,A320,1992.0,2016.0,CFM INTL,CFM56-5A,DL
N608AT,BOEING,717-200,717-200,2000.0,2009.0,ROLLS-ROYC,BR700-715,DL
N913DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2016.0,P & W,JT8D-219,DL
N378NW,AIRBUS,A320-211,A320,2003.0,2009.0,CFM INTL,CFM56-5A,DL
N703TW,BOEING,757-2Q8,757-200,1996.0,2013.0,P & W,PW2037,DL
N927DA,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,1988.0,P & W,JT8D-219,DL
N752AT,BOEING,757-212,757-200,1984.0,1996.0,P & W,PW2037,DL
N915DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2015.0,P & W,JT8D-219,DL
N955DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1996.0,2011.0,IAE,V2528-D5,DL
N842DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL
N538US,BOEING,757-251,757-200,1996.0,2007.0,P & W,PW2037,DL
N352NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL
N681DA,BOEING,757-232,757-200,1993.0,2017.0,P & W,PW2037,DL
N6716C,BOEING,757-232,757-200,2001.0,2001.0,P & W,PW2037,DL
N965DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2007.0,P & W,JT8D-219,DL
N976DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2016.0,P & W,JT8D-219,DL
N951DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2013.0,IAE,V2528-D5,DL
N683DA,BOEING,757-232,757-200,1993.0,2018.0,P & W,PW2037,DL
N546US,BOEING,757-251,757-200,1996.0,2009.0,P & W,PW2037,DL
N370NB,AIRBUS,A319-114,A319,2003.0,2009.0,CFM INTL,CFM56-5A,DL
N347NW,AIRBUS,A320-212,A320,1993.0,2009.0,CFM INTL,CFM56-5A,DL
N910DL,MCDONNELL DOUGLAS,MD-88,MD-88,1987.0,2018.0,P & W,JT8D-219,DL
N971AT,BOEING,717-200,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,DL
N981DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2010.0,P & W,JT8D-219,DL
N603AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL
N362NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL
N959AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL
N338NW,AIRBUS,A320-212,A320,1992.0,2014.0,CFM INTL,CFM56-5A,DL
N343NB,AIRBUS,A319-114,A319,2002.0,2009.0,CFM INTL,CFM56-5A,DL
N584NW,BOEING,757-351,757-300,2002.0,2009.0,P & W,PW2040,DL
N924AT,BOEING,717-200,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,DL
N3739P,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL
N3757D,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL
N377DA,BOEING,737-832,737-800,1999.0,1999.0,CFM INTL,CFM56-7B,DL
N358NB,AIRBUS,A319-114,A319,2003.0,2009.0,CFM INTL,CFM56-5A,DL
N67171,BOEING,757-232,757-200,2001.0,2001.0,P & W,PW2037,DL
N916DE,MCDONNELL DOUGLAS,MD-88,MD-88,1993.0,1993.0,P & W,JT8D-219,DL
N982AT,BOEING,717-200,717-200,2002.0,2003.0,ROLLS-ROYC,BR700-715,DL
N909DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL
N819DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N989AT,BOEING,717-200,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,DL
N906DA,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1995.0,1995.0,IAE,V2528-D5,DL
N6701,BOEING,757-232,757-200,1999.0,1999.0,P & W,PW2037,DL
N668DN,BOEING,757-232,757-200,1991.0,2017.0,P & W,PW2037,DL
N910AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL
N958DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2018.0,P & W,JT8D-219,DL
N391DA,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL
N933AT,BOEING,717-200,717-200,2000.0,2000.0,ROLLS-ROYC,BR700-715,DL
N904DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL
N913DE,MCDONNELL DOUGLAS,MD-88,MD-88,1993.0,1993.0,P & W,JT8D-219,DL
N1611B,BOEING,767-332ER,767-300ER,2000.0,2000.0,GE,CF6-80C2,DL
N303DQ,BOEING,737-732,737-700,2008.0,2008.0,CFM INTL,CFM56-7B,DL
N994AT,BOEING,717-200,717-200,2002.0,2002.0,ROLLS-ROYC,BR700-715,DL
N824DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N956DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2016.0,P & W,JT8D-219,DL
N906DL,MCDONNELL DOUGLAS,MD-88,MD-88,1987.0,2018.0,P & W,JT8D-219,DL
N333NB,AIRBUS,A319-114,A319,2001.0,2009.0,CFM INTL,CFM56-5A,DL
N964DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2018.0,P & W,JT8D-219,DL
N896AT,BOEING,717-200,717-200,2005.0,2005.0,ROLLS-ROYC,BR700-715,DL
N907DL,MCDONNELL DOUGLAS,MD-88,MD-88,1987.0,2018.0,P & W,JT8D-219,DL
N971DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2011.0,P & W,JT8D-219,DL
N315US,AIRBUS,A320-211,A320,1991.0,2013.0,CFM INTL,CFM56-5A,DL
N321NB,AIRBUS,A319-114,A319,2001.0,2009.0,CFM INTL,CFM56-5A,DL
N910DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1995.0,1996.0,IAE,V2528-D5,DL
N904DL,MCDONNELL DOUGLAS,MD-88,MD-88,1987.0,2009.0,P & W,JT8D-219,DL
N827DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N920AT,BOEING,717-200,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,DL
N812DN,BOEING,737-932ER,737-900ER,2013.0,2013.0,CFM INTL,CFM56-7B,DL
N371NB,AIRBUS,A319-114,A319,2003.0,2009.0,CFM INTL,CFM56-5A,DL
N821DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N316US,AIRBUS,A320-211,A320,1991.0,2013.0,CFM INTL,CFM56-5A,DL
N915DE,MCDONNELL DOUGLAS,MD-88,MD-88,1993.0,1993.0,P & W,JT8D-219,DL
N536US,BOEING,757-251,757-200,1995.0,2015.0,P & W,PW2037,DL
N3749D,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL
N836DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL
N914DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2015.0,P & W,JT8D-219,DL
N673DL,BOEING,757-232,757-200,1992.0,1992.0,P & W,PW2037,DL
N933DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL
N552NW,BOEING,757-251,757-200,2001.0,2009.0,P & W,PW2037,DL
N3761R,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL
N322NB,AIRBUS,A319-114,A319,2001.0,2009.0,CFM INTL,CFM56-5A,DL
N6704Z,BOEING,757-232,757-200,2000.0,2000.0,P & W,PW2037,DL
N959DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2016.0,P & W,JT8D-219,DL
N383DN,BOEING,737-832,737-800,1999.0,1999.0,CFM INTL,CFM56-7B,DL
N961DN,BOEING,MD-90-30,MD-90-30,1998.0,2011.0,IAE,V2528-D5,DL
N960DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2016.0,P & W,JT8D-219,DL
N582NW,BOEING,757-351,757-300,2002.0,2009.0,P & W,PW2040,DL
N588NW,BOEING,757-351,757-300,2003.0,2009.0,P & W,PW2040,DL
N951DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,1990.0,P & W,JT8D-219,DL
N660DL,BOEING,757-232,757-200,1990.0,2017.0,P & W,PW2037,DL
N926DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,1988.0,P & W,JT8D-219,DL
N382DA,BOEING,737-832,737-800,1999.0,1999.0,CFM INTL,CFM56-7B,DL
N917DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2017.0,P & W,JT8D-219,DL
N807DN,BOEING,737-932ER,737-900ER,2013.0,2013.0,CFM INTL,CFM56-7B,DL
N594NW,BOEING,757-351,757-300,2003.0,2009.0,P & W,PW2040,DL
N556NW,BOEING,757-251,757-200,2002.0,2009.0,P & W,PW2037,DL
N963DN,BOEING,MD-90-30,MD-90-30,1999.0,2011.0,IAE,V2528-D5,DL
N924DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2015.0,P & W,JT8D-219,DL
N349NW,AIRBUS,A320-212,A320,1993.0,2009.0,CFM INTL,CFM56-5A,DL
N972DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2017.0,P & W,JT8D-219,DL
N993AT,BOEING,717-200,717-200,2002.0,2002.0,ROLLS-ROYC,BR700-715,DL
N804DN,BOEING,737-932ER,737-900ER,2013.0,2013.0,CFM INTL,CFM56-7B,DL
N345NW,AIRBUS,A320-212,A320,1993.0,2009.0,CFM INTL,CFM56-5A,DL
N3741S,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL
N3735D,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL
N385DN,BOEING,737-832,737-800,1999.0,1999.0,CFM INTL,CFM56-7B,DL
N1610D,BOEING,767-332ER,767-300ER,2000.0,2000.0,GE,CF6-80C2,DL
N366NW,AIRBUS,A320-212,A320,1999.0,1999.0,CFM INTL,CFM56-5A,DL
N339NB,AIRBUS,A319-114,A319,2002.0,2009.0,CFM INTL,CFM56-5A,DL
N306DQ,BOEING,737-732,737-700,2009.0,2009.0,CFM INTL,CFM56-7B,DL
N905DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL
N948AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL
N326US,AIRBUS,A320-211,A320,1991.0,2015.0,CFM INTL,CFM56-5A,DL
N944AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL
N395DN,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL
N379DA,BOEING,737-832,737-800,1999.0,1999.0,CFM INTL,CFM56-7B,DL
N983DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2015.0,P & W,JT8D-219,DL
N928AT,BOEING,717-200,717-200,2000.0,2000.0,ROLLS-ROYC,BR700-715,DL
N964DN,BOEING,MD-90-30,MD-90-30,1999.0,2011.0,IAE,V2528-D5,DL
N688DL,BOEING,757-232,757-200,1998.0,1998.0,P & W,PW2037,DL
N952DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2018.0,P & W,JT8D-219,DL
N910DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL
N815DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N947DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1990.0,P & W,JT8D-219,DL
N974DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2010.0,P & W,JT8D-219,DL
N947AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL
N840DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL
N317US,AIRBUS,A320-211,A320,1991.0,2013.0,CFM INTL,CFM56-5A,DL
N975DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2018.0,P & W,JT8D-219,DL
N957DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2016.0,P & W,JT8D-219,DL
N934AT,BOEING,717-200,717-200,2000.0,2000.0,ROLLS-ROYC,BR700-715,DL
N942DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL
N3742C,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL
N822DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N818DA,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N802DN,BOEING,737-932ER,737-900ER,2013.0,2013.0,CFM INTL,CFM56-7B,DL
N695DL,BOEING,757-232,757-200,1998.0,1998.0,P & W,PW2037,DL
N984DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,1991.0,P & W,JT8D-219,DL
N555NW,BOEING,757-251,757-200,2002.0,2009.0,P & W,PW2037,DL
N1402A,BOEING,767-332,767-300,1993.0,2011.0,P & W,PW4060,DL
N340NB,AIRBUS,A319-114,A319,2002.0,2009.0,CFM INTL,CFM56-5A,DL
N945DN,BOEING,MD-90-30,MD-90-30,1998.0,2012.0,IAE,V2528-D5,DL
N980DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2018.0,P & W,JT8D-219,DL
N954DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2016.0,P & W,JT8D-219,DL
N585NW,BOEING,757-351,757-300,2002.0,2009.0,P & W,PW2040,DL
N942AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL
N908DL,MCDONNELL DOUGLAS,MD-88,MD-88,1987.0,2018.0,P & W,JT8D-219,DL
N3736C,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL
N911DL,MCDONNELL DOUGLAS,MD-88,MD-88,1987.0,2017.0,P & W,JT8D-219,DL
N918DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2016.0,P & W,JT8D-219,DL
N384DA,BOEING,737-832,737-800,1999.0,1999.0,CFM INTL,CFM56-7B,DL
N337NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL
N557NW,BOEING,757-251,757-200,2002.0,2009.0,P & W,PW2037,DL
N3765,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL
N3760C,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL
N595NW,BOEING,757-351,757-300,2003.0,2009.0,P & W,PW2040,DL
N6705Y,BOEING,757-232,757-200,2000.0,2000.0,P & W,PW2037,DL
N995DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,1992.0,P & W,JT8D-219,DL
N958DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2011.0,IAE,V2528-D5,DL
N930DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,1988.0,P & W,JT8D-219,DL
N954DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1996.0,2011.0,IAE,V2528-D5,DL
N322US,AIRBUS,A320-211,A320,1991.0,2015.0,CFM INTL,CFM56-5A,DL
N942DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2012.0,IAE,V2528-D5,DL
N935DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1996.0,2016.0,IAE,V2528-D5,DL
N816DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N970DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2014.0,P & W,JT8D-219,DL
N981AT,BOEING,717-200,717-200,2002.0,2003.0,ROLLS-ROYC,BR700-715,DL
N344NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL
N946DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL
N702TW,BOEING,757-2Q8,757-200,1996.0,2014.0,P & W,PW2037,DL
N917DE,MCDONNELL DOUGLAS,MD-88,MD-88,1993.0,1993.0,P & W,JT8D-219,DL
N919AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL
N848DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL
N680DA,BOEING,757-232,757-200,1992.0,1992.0,P & W,PW2037,DL
N937AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL
N813DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N967AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL
N309DE,BOEING,737-732,737-700,2009.0,2009.0,CFM INTL,CFM56-7B,DL
N962DN,BOEING,MD-90-30,MD-90-30,1998.0,2011.0,IAE,V2528-D5,DL
N820DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N693DL,BOEING,757-232,757-200,1998.0,1998.0,P & W,PW2037,DL
N828DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N310DE,BOEING,737-732,737-700,2009.0,2009.0,CFM INTL,CFM56-7B,DL
N903DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL
N843DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL
N913DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1996.0,1997.0,IAE,V2528-D5,DL
N846DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL
N906AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL
N972AT,BOEING,717-200,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,DL
N940DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2012.0,IAE,V2528-D5,DL
N686DA,BOEING,757-232,757-200,1995.0,1995.0,P & W,PW2037,DL
N369NW,AIRBUS,A320-212,A320,1999.0,1999.0,CFM INTL,CFM56-5A,DL
N967DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2011.0,P & W,JT8D-219,DL
N361NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL
N375NC,AIRBUS,A320-212,A320,2002.0,2009.0,CFM INTL,CFM56-5A,DL
N837DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL
N825DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N330NW,AIRBUS,A320-211,A320,1992.0,2016.0,CFM INTL,CFM56-5A,DL
N319US,AIRBUS,A320-211,A320,1991.0,2013.0,CFM INTL,CFM56-5A,DL
N692DL,BOEING,757-232,757-200,1998.0,1998.0,P & W,PW2037,DL
N335NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL
N326NB,AIRBUS,A319-114,A319,2001.0,2009.0,CFM INTL,CFM56-5A,DL
N342NW,AIRBUS,A320-212,A320,1992.0,2015.0,CFM INTL,CFM56-5A,DL
N6710E,BOEING,757-232,757-200,2000.0,2000.0,P & W,PW2037,DL
N968DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2014.0,P & W,JT8D-219,DL
N139DL,BOEING,767-332ER,767-300ER,1992.0,1992.0,GE,CF6-80C2,DL
N3768,BOEING,737-832,737-800,2002.0,2002.0,CFM INTL,CFM56-7B,DL
N977DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2014.0,P & W,JT8D-219,DL
N189DN,BOEING,767-332ER,767-300ER,1997.0,1997.0,P & W,PW4060,DL
N987DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,1991.0,P & W,JT8D-219,DL
N941DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL
N590NW,BOEING,757-351,757-300,2003.0,2009.0,P & W,PW2040,DL
N722TW,BOEING,757-231,757-200,1999.0,2013.0,P & W,PW2037,DL
N304DQ,BOEING,737-732,737-700,2008.0,2008.0,CFM INTL,CFM56-7B,DL
N817DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N841DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL
N956DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2011.0,IAE,V2528-D5,DL
N316NB,AIRBUS,A319-114,A319,2000.0,2009.0,CFM INTL,CFM56-5A,DL
N121DE,BOEING,767-332ER,767-300ER,1987.0,2010.0,GE,CF6-80C2,DL
N37700,BOEING,737-832,737-800,2002.0,2002.0,CFM INTL,CFM56-7B,DL
N985AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL
N811DZ,BOEING,737-932ER,737-900ER,2013.0,2013.0,CFM INTL,CFM56-7B,DL
N332NB,AIRBUS,A319-114,A319,2001.0,2009.0,CFM INTL,CFM56-5A,DL
N3764D,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL
N314NB,AIRBUS,A319-114,A319,2000.0,2009.0,CFM INTL,CFM56-5A,DL
N907DA,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1995.0,1995.0,IAE,V2528-D5,DL
N627DL,BOEING,757-232,757-200,1987.0,2017.0,P & W,PW2037,DL
N678DL,BOEING,757-232,757-200,1992.0,1992.0,P & W,PW2037,DL
N962DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2014.0,P & W,JT8D-219,DL
N929DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,1988.0,P & W,JT8D-219,DL
N829DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL
N143DA,BOEING,767-332ER,767-300ER,1998.0,1998.0,P & W,PW4060,DL
N832DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL
N666DN,BOEING,757-232,757-200,1991.0,2016.0,P & W,PW2037,DL
N363NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL
N589NW,BOEING,757-351,757-300,2003.0,2009.0,P & W,PW2040,DL
N946AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL
N706TW,BOEING,757-2Q8,757-200,1997.0,2013.0,P & W,PW2037,DL
N950DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,1990.0,P & W,JT8D-219,DL
N935AT,BOEING,717-200,717-200,2000.0,2000.0,ROLLS-ROYC,BR700-715,DL
N938DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL
N928DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,1988.0,P & W,JT8D-219,DL
N325US,AIRBUS,A320-211,A320,1991.0,2015.0,CFM INTL,CFM56-5A,DL
N3746H,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL
N906DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL
N953DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2015.0,P & W,JT8D-219,DL
N968AT,BOEING,717-200,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,DL
N959DN,BOEING,MD-90-30,MD-90-30,1998.0,2011.0,IAE,V2528-D5,DL
N805DN,BOEING,737-932ER,737-900ER,2013.0,2013.0,CFM INTL,CFM56-7B,DL
N966AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL
N587NW,BOEING,757-351,757-300,2002.0,2009.0,P & W,PW2040,DL
N633DL,BOEING,757-232,757-200,1987.0,2018.0,P & W,PW2037,DL
N943DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL
N125DL,BOEING,767-332ER,767-300ER,1988.0,2014.0,GE,CF6-80C2,DL
N956AT,BOEING,717-200,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,DL
N922AT,BOEING,717-200,717-200,2005.0,2005.0,ROLLS-ROYC,BR700-715,DL
N367NW,AIRBUS,A320-212,A320,1999.0,1999.0,CFM INTL,CFM56-5A,DL
N331NW,AIRBUS,A320-211,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL
N961DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2016.0,P & W,JT8D-219,DL
N325NB,AIRBUS,A319-114,A319,2001.0,2009.0,CFM INTL,CFM56-5A,DL
N978AT,BOEING,717-200,717-200,2002.0,2002.0,ROLLS-ROYC,BR700-715,DL
N918DH,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1996.0,2010.0,IAE,V2528-D5,DL
N3767,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL
N921AT,BOEING,717-200,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,DL
N911DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1993.0,P & W,JT8D-219,DL
