tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier,number_of_seats
N3754A,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL,160.0
N923DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2017.0,P & W,JT8D-219,DL,149.0
N551NW,BOEING,757-251,757-200,2001.0,2009.0,P & W,PW2037,DL,199.0
N334NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N675DL,BOEING,757-232,757-200,1992.0,2018.0,P & W,PW2037,DL,180.0
N309US,AIRBUS,A320-211,A320,1990.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N940DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL,149.0
N920DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2018.0,P & W,JT8D-219,DL,149.0
N357NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N199DN,BOEING,767-332ER,767-300ER,1998.0,1998.0,P & W,PW4060,DL,226.0
N943AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL,110.0
N3733Z,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL,160.0
N925AT,BOEING,717-200,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,DL,110.0
N973DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2017.0,P & W,JT8D-219,DL,149.0
N907DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL,149.0
N905DA,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1995.0,1995.0,IAE,V2528-D5,DL,158.0
N927DN,BOEING,MD-90-30,MD-90-30,1999.0,2010.0,IAE,V2528-D5,DL,158.0
N302NB,AIRBUS,A319-114,A319,1999.0,1999.0,CFM INTL,CFM56-5A,DL,132.0
N966DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2011.0,P & W,JT8D-219,DL,149.0
N341NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N970AT,BOEING,717-200,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,DL,110.0
N328NW,AIRBUS,A320-211,A320,1992.0,2016.0,CFM INTL,CFM56-5A,DL,150.0
N608AT,BOEING,717-200,717-200,2000.0,2009.0,ROLLS-ROYC,BR700-715,DL,110.0
N913DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2016.0,P & W,JT8D-219,DL,149.0
N378NW,AIRBUS,A320-211,A320,2003.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N703TW,BOEING,757-2Q8,757-200,1996.0,2013.0,P & W,PW2037,DL,168.0
N927DA,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,1988.0,P & W,JT8D-219,DL,149.0
N752AT,BOEING,757-212,757-200,1984.0,1996.0,P & W,PW2037,DL,175.0
N915DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2015.0,P & W,JT8D-219,DL,149.0
N955DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1996.0,2011.0,IAE,V2528-D5,DL,158.0
N842DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL,180.0
N538US,BOEING,757-251,757-200,1996.0,2007.0,P & W,PW2037,DL,199.0
N352NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N681DA,BOEING,757-232,757-200,1993.0,2017.0,P & W,PW2037,DL,180.0
N6716C,BOEING,757-232,757-200,2001.0,2001.0,P & W,PW2037,DL,199.0
N965DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2007.0,P & W,JT8D-219,DL,149.0
N976DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2016.0,P & W,JT8D-219,DL,149.0
N951DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2013.0,IAE,V2528-D5,DL,158.0
N683DA,BOEING,757-232,757-200,1993.0,2018.0,P & W,PW2037,DL,180.0
N546US,BOEING,757-251,757-200,1996.0,2009.0,P & W,PW2037,DL,199.0
N370NB,AIRBUS,A319-114,A319,2003.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N347NW,AIRBUS,A320-212,A320,1993.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N910DL,MCDONNELL DOUGLAS,MD-88,MD-88,1987.0,2018.0,P & W,JT8D-219,DL,149.0
N971AT,BOEING,717-200,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,DL,110.0
N981DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2010.0,P & W,JT8D-219,DL,149.0
N603AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL,110.0
N362NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N959AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL,110.0
N338NW,AIRBUS,A320-212,A320,1992.0,2014.0,CFM INTL,CFM56-5A,DL,150.0
N343NB,AIRBUS,A319-114,A319,2002.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N584NW,BOEING,757-351,757-300,2002.0,2009.0,P & W,PW2040,DL,234.0
N924AT,BOEING,717-200,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,DL,110.0
N3739P,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL,160.0
N3757D,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL,160.0
N377DA,BOEING,737-832,737-800,1999.0,1999.0,CFM INTL,CFM56-7B,DL,160.0
N358NB,AIRBUS,A319-114,A319,2003.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N67171,BOEING,757-232,757-200,2001.0,2001.0,P & W,PW2037,DL,199.0
N916DE,MCDONNELL DOUGLAS,MD-88,MD-88,1993.0,1993.0,P & W,JT8D-219,DL,149.0
N982AT,BOEING,717-200,717-200,2002.0,2003.0,ROLLS-ROYC,BR700-715,DL,110.0
N909DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL,149.0
N819DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N989AT,BOEING,717-200,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,DL,110.0
N906DA,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1995.0,1995.0,IAE,V2528-D5,DL,158.0
N6701,BOEING,757-232,757-200,1999.0,1999.0,P & W,PW2037,DL,199.0
N668DN,BOEING,757-232,757-200,1991.0,2017.0,P & W,PW2037,DL,180.0
N910AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL,110.0
N958DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2018.0,P & W,JT8D-219,DL,149.0
N391DA,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL,160.0
N933AT,BOEING,717-200,717-200,2000.0,2000.0,ROLLS-ROYC,BR700-715,DL,110.0
N904DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL,149.0
N913DE,MCDONNELL DOUGLAS,MD-88,MD-88,1993.0,1993.0,P & W,JT8D-219,DL,149.0
N1611B,BOEING,767-332ER,767-300ER,2000.0,2000.0,GE,CF6-80C2,DL,211.0
N303DQ,BOEING,737-732,737-700,2008.0,2008.0,CFM INTL,CFM56-7B,DL,124.0
N994AT,BOEING,717-200,717-200,2002.0,2002.0,ROLLS-ROYC,BR700-715,DL,110.0
N824DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N956DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2016.0,P & W,JT8D-219,DL,149.0
N906DL,MCDONNELL DOUGLAS,MD-88,MD-88,1987.0,2018.0,P & W,JT8D-219,DL,149.0
N333NB,AIRBUS,A319-114,A319,2001.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N964DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2018.0,P & W,JT8D-219,DL,149.0
N896AT,BOEING,717-200,717-200,2005.0,2005.0,ROLLS-ROYC,BR700-715,DL,110.0
N907DL,MCDONNELL DOUGLAS,MD-88,MD-88,1987.0,2018.0,P & W,JT8D-219,DL,149.0
N971DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2011.0,P & W,JT8D-219,DL,149.0
N315US,AIRBUS,A320-211,A320,1991.0,2013.0,CFM INTL,CFM56-5A,DL,150.0
N321NB,AIRBUS,A319-114,A319,2001.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N910DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1995.0,1996.0,IAE,V2528-D5,DL,158.0
N904DL,MCDONNELL DOUGLAS,MD-88,MD-88,1987.0,2009.0,P & W,JT8D-219,DL,149.0
N827DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N920AT,BOEING,717-200,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,DL,110.0
N812DN,BOEING,737-932ER,737-900ER,2013.0,2013.0,CFM INTL,CFM56-7B,DL,180.0
N371NB,AIRBUS,A319-114,A319,2003.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N821DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N316US,AIRBUS,A320-211,A320,1991.0,2013.0,CFM INTL,CFM56-5A,DL,150.0
N915DE,MCDONNELL DOUGLAS,MD-88,MD-88,1993.0,1993.0,P & W,JT8D-219,DL,149.0
N536US,BOEING,757-251,757-200,1995.0,2015.0,P & W,PW2037,DL,199.0
N3749D,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL,160.0
N836DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL,180.0
N914DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2015.0,P & W,JT8D-219,DL,149.0
N673DL,BOEING,757-232,757-200,1992.0,1992.0,P & W,PW2037,DL,180.0
N933DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL,149.0
N552NW,BOEING,757-251,757-200,2001.0,2009.0,P & W,PW2037,DL,199.0
N3761R,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL,160.0
N322NB,AIRBUS,A319-114,A319,2001.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N6704Z,BOEING,757-232,757-200,2000.0,2000.0,P & W,PW2037,DL,199.0
N959DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2016.0,P & W,JT8D-219,DL,149.0
N383DN,BOEING,737-832,737-800,1999.0,1999.0,CFM INTL,CFM56-7B,DL,160.0
N961DN,BOEING,MD-90-30,MD-90-30,1998.0,2011.0,IAE,V2528-D5,DL,158.0
N960DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2016.0,P & W,JT8D-219,DL,149.0
N582NW,BOEING,757-351,757-300,2002.0,2009.0,P & W,PW2040,DL,234.0
N588NW,BOEING,757-351,757-300,2003.0,2009.0,P & W,PW2040,DL,234.0
N951DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,1990.0,P & W,JT8D-219,DL,149.0
N660DL,BOEING,757-232,757-200,1990.0,2017.0,P & W,PW2037,DL,180.0
N926DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,1988.0,P & W,JT8D-219,DL,149.0
N382DA,BOEING,737-832,737-800,1999.0,1999.0,CFM INTL,CFM56-7B,DL,160.0
N917DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2017.0,P & W,JT8D-219,DL,149.0
N807DN,BOEING,737-932ER,737-900ER,2013.0,2013.0,CFM INTL,CFM56-7B,DL,180.0
N594NW,BOEING,757-351,757-300,2003.0,2009.0,P & W,PW2040,DL,234.0
N556NW,BOEING,757-251,757-200,2002.0,2009.0,P & W,PW2037,DL,199.0
N963DN,BOEING,MD-90-30,MD-90-30,1999.0,2011.0,IAE,V2528-D5,DL,158.0
N924DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2015.0,P & W,JT8D-219,DL,149.0
N349NW,AIRBUS,A320-212,A320,1993.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N972DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2017.0,P & W,JT8D-219,DL,149.0
N993AT,BOEING,717-200,717-200,2002.0,2002.0,ROLLS-ROYC,BR700-715,DL,110.0
N804DN,BOEING,737-932ER,737-900ER,2013.0,2013.0,CFM INTL,CFM56-7B,DL,180.0
N345NW,AIRBUS,A320-212,A320,1993.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N3741S,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL,160.0
N3735D,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL,160.0
N385DN,BOEING,737-832,737-800,1999.0,1999.0,CFM INTL,CFM56-7B,DL,160.0
N1610D,BOEING,767-332ER,767-300ER,2000.0,2000.0,GE,CF6-80C2,DL,211.0
N366NW,AIRBUS,A320-212,A320,1999.0,1999.0,CFM INTL,CFM56-5A,DL,150.0
N339NB,AIRBUS,A319-114,A319,2002.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N306DQ,BOEING,737-732,737-700,2009.0,2009.0,CFM INTL,CFM56-7B,DL,124.0
N905DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL,149.0
N948AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL,110.0
N326US,AIRBUS,A320-211,A320,1991.0,2015.0,CFM INTL,CFM56-5A,DL,150.0
N944AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL,110.0
N395DN,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL,160.0
N379DA,BOEING,737-832,737-800,1999.0,1999.0,CFM INTL,CFM56-7B,DL,160.0
N983DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2015.0,P & W,JT8D-219,DL,149.0
N928AT,BOEING,717-200,717-200,2000.0,2000.0,ROLLS-ROYC,BR700-715,DL,110.0
N964DN,BOEING,MD-90-30,MD-90-30,1999.0,2011.0,IAE,V2528-D5,DL,158.0
N688DL,BOEING,757-232,757-200,1998.0,1998.0,P & W,PW2037,DL,199.0
N952DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2018.0,P & W,JT8D-219,DL,149.0
N910DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL,149.0
N815DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N947DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1990.0,P & W,JT8D-219,DL,149.0
N974DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2010.0,P & W,JT8D-219,DL,149.0
N947AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL,110.0
N840DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL,180.0
N317US,AIRBUS,A320-211,A320,1991.0,2013.0,CFM INTL,CFM56-5A,DL,150.0
N975DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2018.0,P & W,JT8D-219,DL,149.0
N957DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2016.0,P & W,JT8D-219,DL,149.0
N934AT,BOEING,717-200,717-200,2000.0,2000.0,ROLLS-ROYC,BR700-715,DL,110.0
N942DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL,149.0
N3742C,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL,160.0
N822DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N818DA,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N802DN,BOEING,737-932ER,737-900ER,2013.0,2013.0,CFM INTL,CFM56-7B,DL,180.0
N695DL,BOEING,757-232,757-200,1998.0,1998.0,P & W,PW2037,DL,199.0
N984DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,1991.0,P & W,JT8D-219,DL,149.0
N555NW,BOEING,757-251,757-200,2002.0,2009.0,P & W,PW2037,DL,199.0
N1402A,BOEING,767-332,767-300,1993.0,2011.0,P & W,PW4060,DL,261.0
N340NB,AIRBUS,A319-114,A319,2002.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N945DN,BOEING,MD-90-30,MD-90-30,1998.0,2012.0,IAE,V2528-D5,DL,158.0
N980DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2018.0,P & W,JT8D-219,DL,149.0
N954DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2016.0,P & W,JT8D-219,DL,149.0
N585NW,BOEING,757-351,757-300,2002.0,2009.0,P & W,PW2040,DL,234.0
N942AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL,110.0
N908DL,MCDONNELL DOUGLAS,MD-88,MD-88,1987.0,2018.0,P & W,JT8D-219,DL,149.0
N3736C,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL,160.0
N911DL,MCDONNELL DOUGLAS,MD-88,MD-88,1987.0,2017.0,P & W,JT8D-219,DL,149.0
N918DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,2016.0,P & W,JT8D-219,DL,149.0
N384DA,BOEING,737-832,737-800,1999.0,1999.0,CFM INTL,CFM56-7B,DL,160.0
N337NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N557NW,BOEING,757-251,757-200,2002.0,2009.0,P & W,PW2037,DL,199.0
N3765,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL,160.0
N3760C,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL,160.0
N595NW,BOEING,757-351,757-300,2003.0,2009.0,P & W,PW2040,DL,234.0
N6705Y,BOEING,757-232,757-200,2000.0,2000.0,P & W,PW2037,DL,199.0
N995DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,1992.0,P & W,JT8D-219,DL,149.0
N958DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2011.0,IAE,V2528-D5,DL,158.0
N930DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,1988.0,P & W,JT8D-219,DL,149.0
N954DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1996.0,2011.0,IAE,V2528-D5,DL,158.0
N322US,AIRBUS,A320-211,A320,1991.0,2015.0,CFM INTL,CFM56-5A,DL,150.0
N942DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2012.0,IAE,V2528-D5,DL,158.0
N935DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1996.0,2016.0,IAE,V2528-D5,DL,158.0
N816DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N970DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2014.0,P & W,JT8D-219,DL,149.0
N981AT,BOEING,717-200,717-200,2002.0,2003.0,ROLLS-ROYC,BR700-715,DL,110.0
N344NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N946DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL,149.0
N702TW,BOEING,757-2Q8,757-200,1996.0,2014.0,P & W,PW2037,DL,168.0
N917DE,MCDONNELL DOUGLAS,MD-88,MD-88,1993.0,1993.0,P & W,JT8D-219,DL,149.0
N919AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL,110.0
N848DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL,180.0
N680DA,BOEING,757-232,757-200,1992.0,1992.0,P & W,PW2037,DL,180.0
N937AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL,110.0
N813DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N967AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL,110.0
N309DE,BOEING,737-732,737-700,2009.0,2009.0,CFM INTL,CFM56-7B,DL,124.0
N962DN,BOEING,MD-90-30,MD-90-30,1998.0,2011.0,IAE,V2528-D5,DL,158.0
N820DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N693DL,BOEING,757-232,757-200,1998.0,1998.0,P & W,PW2037,DL,199.0
N828DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N310DE,BOEING,737-732,737-700,2009.0,2009.0,CFM INTL,CFM56-7B,DL,124.0
N903DE,MCDONNELL DOUGLAS,MD-88,MD-88,1992.0,1992.0,P & W,JT8D-219,DL,149.0
N843DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL,180.0
N913DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1996.0,1997.0,IAE,V2528-D5,DL,158.0
N846DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL,180.0
N906AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL,110.0
N972AT,BOEING,717-200,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,DL,110.0
N940DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2012.0,IAE,V2528-D5,DL,158.0
N686DA,BOEING,757-232,757-200,1995.0,1995.0,P & W,PW2037,DL,199.0
N369NW,AIRBUS,A320-212,A320,1999.0,1999.0,CFM INTL,CFM56-5A,DL,150.0
N967DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2011.0,P & W,JT8D-219,DL,149.0
N361NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N375NC,AIRBUS,A320-212,A320,2002.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N837DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL,180.0
N825DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N330NW,AIRBUS,A320-211,A320,1992.0,2016.0,CFM INTL,CFM56-5A,DL,150.0
N319US,AIRBUS,A320-211,A320,1991.0,2013.0,CFM INTL,CFM56-5A,DL,150.0
N692DL,BOEING,757-232,757-200,1998.0,1998.0,P & W,PW2037,DL,199.0
N335NW,AIRBUS,A320-212,A320,1992.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N326NB,AIRBUS,A319-114,A319,2001.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N342NW,AIRBUS,A320-212,A320,1992.0,2015.0,CFM INTL,CFM56-5A,DL,150.0
N6710E,BOEING,757-232,757-200,2000.0,2000.0,P & W,PW2037,DL,199.0
N968DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2014.0,P & W,JT8D-219,DL,149.0
N139DL,BOEING,767-332ER,767-300ER,1992.0,1992.0,GE,CF6-80C2,DL,211.0
N3768,BOEING,737-832,737-800,2002.0,2002.0,CFM INTL,CFM56-7B,DL,160.0
N977DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,2014.0,P & W,JT8D-219,DL,149.0
N189DN,BOEING,767-332ER,767-300ER,1997.0,1997.0,P & W,PW4060,DL,226.0
N987DL,MCDONNELL DOUGLAS,MD-88,MD-88,1991.0,1991.0,P & W,JT8D-219,DL,149.0
N941DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL,149.0
N590NW,BOEING,757-351,757-300,2003.0,2009.0,P & W,PW2040,DL,234.0
N722TW,BOEING,757-231,757-200,1999.0,2013.0,P & W,PW2037,DL,168.0
N304DQ,BOEING,737-732,737-700,2008.0,2008.0,CFM INTL,CFM56-7B,DL,124.0
N817DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N841DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL,180.0
N956DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2011.0,IAE,V2528-D5,DL,158.0
N316NB,AIRBUS,A319-114,A319,2000.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N121DE,BOEING,767-332ER,767-300ER,1987.0,2010.0,GE,CF6-80C2,DL,211.0
N37700,BOEING,737-832,737-800,2002.0,2002.0,CFM INTL,CFM56-7B,DL,160.0
N985AT,BOEING,717-200,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,DL,110.0
N811DZ,BOEING,737-932ER,737-900ER,2013.0,2013.0,CFM INTL,CFM56-7B,DL,180.0
N332NB,AIRBUS,A319-114,A319,2001.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N3764D,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL,160.0
N314NB,AIRBUS,A319-114,A319,2000.0,2009.0,CFM INTL,CFM56-5A,DL,132.0
N907DA,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1995.0,1995.0,IAE,V2528-D5,DL,158.0
N627DL,BOEING,757-232,757-200,1987.0,2017.0,P & W,PW2037,DL,180.0
N678DL,BOEING,757-232,757-200,1992.0,1992.0,P & W,PW2037,DL,180.0
N962DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,2014.0,P & W,JT8D-219,DL,149.0
N929DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,1988.0,P & W,JT8D-219,DL,149.0
N829DN,BOEING,737-932ER,737-900ER,2014.0,2014.0,CFM INTL,CFM56-7B,DL,180.0
N143DA,BOEING,767-332ER,767-300ER,1998.0,1998.0,P & W,PW4060,DL,211.0
N832DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL,180.0
N666DN,BOEING,757-232,757-200,1991.0,2016.0,P & W,PW2037,DL,180.0
N363NW,AIRBUS,A320-212,A320,1998.0,2009.0,CFM INTL,CFM56-5A,DL,150.0
N589NW,BOEING,757-351,757-300,2003.0,2009.0,P & W,PW2040,DL,234.0
N946AT,BOEING,717-200,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,DL,110.0
N706TW,BOEING,757-2Q8,757-200,1997.0,2013.0,P & W,PW2037,DL,168.0
N950DL,MCDONNELL DOUGLAS,MD-88,MD-88,1990.0,1990.0,P & W,JT8D-219,DL,149.0
N935AT,BOEING,717-200,717-200,2000.0,2000.0,ROLLS-ROYC,BR700-715,DL,110.0
N938DL,MCDONNELL DOUGLAS,MD-88,MD-88,1989.0,1989.0,P & W,JT8D-219,DL,149.0
N928DL,MCDONNELL DOUGLAS,MD-88,MD-88,1988.0,1988.0,P & W,JT8D-219,DL,149.0
N325US,AIRBUS,A320-211,A320,1991.0,2015.0,CFM INTL,CFM56-5A,DL,150.0
N3746H,BOEING,737-832,737-800,2001.0,2001.0,CFM INTL,CFM56-7B,DL,160.0
