tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier,number_of_seats
N699BR,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2004.0,GE,CF34-3,OO,50.0
N907SW,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,OO,50.0
N868CA,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2012.0,GE,CF34-3,OO,50.0
N464SW,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2003.0,GE,CF34-3,OO,50.0
N866AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,OO,50.0
N594SW,BOMBARDIER INC,CL-600-2B19,CL-600,1999.0,2013.0,GE,CF34-3,OO,50.0
N821AS,BOMBARDIER INC,CL-600-2B19,CL-600,1997.0,2014.0,GE,CF34-3,OO,50.0
N702BR,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2018.0,GE,CF34-3,OO,50.0
N435SW,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2001.0,GE,CF34-3,OO,50.0
N807SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2018.0,GE,CF34-8C,OO,76.0
N554CA,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2012.0,GE,CF34-8C,OO,76.0
N809SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2018.0,GE,CF34-8C,OO,76.0
N692CA,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2012.0,GE,CF34-8C,OO,76.0
N625CA,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2012.0,GE,CF34-8C,OO,69.0
N815SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2007.0,GE,CF34-8C,OO,76.0
N805SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2018.0,GE,CF34-8C,OO,76.0
N549CA,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2012.0,GE,CF34-8C,OO,76.0
N816SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2007.0,GE,CF34-8C,OO,76.0
N820SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2007.0,GE,CF34-8C,OO,76.0
N898SK,BOMBARDIER INC,CL-600-2D24,CL-600,2007.0,2016.0,GE,CF34-8C,OO,76.0
N170PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2013.0,GE,CF34-8C,OO,76.0
N803SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2018.0,GE,CF34-8C,OO,76.0
N825SK,BOMBARDIER INC,CL-600-2D24,CL-600,2009.0,2009.0,GE,CF34-8C,OO,76.0
N806SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2018.0,GE,CF34-8C,OO,76.0
N814SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2018.0,GE,CF34-8C,OO,76.0
N812SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2007.0,GE,CF34-8C,OO,76.0
N821SK,BOMBARDIER INC,CL-600-2D24,CL-600,2007.0,2007.0,GE,CF34-8C,OO,76.0
N449SW,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2003.0,GE,CF34-3,OO,50.0
N603SK,BOMBARDIER INC,CL-600-2C10,CL-600,2006.0,2007.0,GE,CF34-8C,OO,69.0
N617QX,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2003.0,GE,CF34-8C,OO,69.0
N633SK,BOMBARDIER INC,CL-600-2C10,CL-600,2011.0,2011.0,GE,CF34-8C,OO,69.0
N606SK,BOMBARDIER INC,CL-600-2C10,CL-600,2006.0,2006.0,GE,CF34-8C,OO,69.0
N630SK,BOMBARDIER INC,CL-600-2C10,CL-600,2011.0,2011.0,GE,CF34-8C,OO,69.0
N608SK,BOMBARDIER INC,CL-600-2C10,CL-600,2006.0,2006.0,GE,CF34-8C,OO,69.0
N613SK,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2017.0,GE,CF34-8C,OO,69.0
N802SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2018.0,GE,CF34-8C,OO,76.0
N611SK,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2017.0,GE,CF34-8C,OO,69.0
N824SK,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2008.0,GE,CF34-8C,OO,76.0
N641CA,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2012.0,GE,CF34-8C,OO,69.0
N161PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2013.0,GE,CF34-8C,OO,76.0
N604SK,BOMBARDIER INC,CL-600-2C10,CL-600,2006.0,2006.0,GE,CF34-8C,OO,69.0
N632SK,BOMBARDIER INC,CL-600-2C10,CL-600,2011.0,2011.0,GE,CF34-8C,OO,69.0
N616QX,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2003.0,GE,CF34-8C,OO,69.0
N609SK,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2017.0,GE,CF34-8C,OO,69.0
N548CA,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2012.0,GE,CF34-8C,OO,76.0
N693CA,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2012.0,GE,CF34-8C,OO,76.0
N913EV,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2003.0,GE,CF34-3,OO,50.0
N779CA,BOMBARDIER INC,CL-600-2B19,CL-600,1999.0,2016.0,GE,CF34-3,OO,50.0
N8828D,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2003.0,GE,CF34-3,OO,50.0
N689CA,BOMBARDIER INC,CL-600-2D24,CL-600,2007.0,2012.0,GE,CF34-8C,OO,76.0
N800SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2007.0,GE,CF34-8C,OO,76.0
N823SK,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2008.0,GE,CF34-8C,OO,76.0
