tail_num,mfr_name,model,year,cert_year,eng_mfr_name,eng_model,aircraft_type,carrier
N827UA,AIRBUS,A319-131,1999.0,2013.0,IAE,V2522-A5,Fixed Wing Multi-Engine,UA
N17139,BOEING,757-224,2000.0,2000.0,ROLLS-ROYC,RB211-535E4B,Fixed Wing Multi-Engine,UA
N418UA,AIRBUS,A320-232,1994.0,2018.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N75410,BOEING,737-924,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N13113,BOEING,757-224,1995.0,2015.0,ROLLS-ROYC,RB211-535E4B,Fixed Wing Multi-Engine,UA
N801UA,AIRBUS,A319-131,1997.0,2013.0,IAE,V2522-A5,Fixed Wing Multi-Engine,UA
N493UA,AIRBUS,A320-232,2002.0,2013.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N505UA,BOEING,757-222,1989.0,2013.0,P & W,PW2040,Fixed Wing Multi-Engine,UA
N65832,BOEING,737-924ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N420UA,AIRBUS,A320-232,1994.0,2004.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N69819,BOEING,737-924ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N32404,BOEING,737-924,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N77258,BOEING,737-824,2000.0,2000.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N23707,BOEING,737-724,1998.0,2018.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N494UA,AIRBUS,A320-232,2002.0,2013.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N73259,BOEING,737-824,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N36476,BOEING,737-924ER,2013.0,2013.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N29961,BOEING,787-9,2015.0,2015.0,GE,GENX-1B74/75/,Fixed Wing Multi-Engine,UA
N812UA,AIRBUS,A319-131,1998.0,2013.0,IAE,V2522-A5,Fixed Wing Multi-Engine,UA
N35236,BOEING,737-824,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N480UA,AIRBUS,A320-232,2001.0,2013.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N12221,BOEING,737-824,1998.0,1998.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N66825,BOEING,737-924ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N38458,BOEING,737-924ER,2012.0,2012.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N73270,BOEING,737-824,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N482UA,AIRBUS,A320-232,2001.0,2002.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N14118,BOEING,757-224,1997.0,2012.0,ROLLS-ROYC,RB211-535E4B,Fixed Wing Multi-Engine,UA
N37252,BOEING,737-824,2000.0,2000.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N439UA,AIRBUS,A320-232,1997.0,2013.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N37267,BOEING,737-824,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N33286,BOEING,737-824,2004.0,2018.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N27733,BOEING,737-724,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N27239,BOEING,737-824,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N37474,BOEING,737-924ER,2013.0,2013.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N37471,BOEING,737-924ER,2013.0,2013.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N39423,BOEING,737-924ER,2008.0,2008.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N33103,BOEING,757-224,1994.0,1994.0,ROLLS-ROYC,RB211-535E4B,Fixed Wing Multi-Engine,UA
N17244,BOEING,737-824,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N26232,BOEING,737-824,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N68453,BOEING,737-924ER,2012.0,2012.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N68801,BOEING,737-924ER,2013.0,2013.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N33262,BOEING,737-824,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N421UA,AIRBUS,A320-232,1994.0,2004.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N14231,BOEING,737-824,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N38727,BOEING,737-724,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N75854,BOEING,757-324,2002.0,2002.0,ROLLS-ROYC,RB211-535E4C,Fixed Wing Multi-Engine,UA
N26906,BOEING,787-8,2012.0,2012.0,GE,GENX-1B70,Fixed Wing Multi-Engine,UA
N77530,BOEING,737-824,2011.0,2011.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N438UA,AIRBUS,A320-232,1997.0,2013.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N407UA,AIRBUS,A320-232,1994.0,2017.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N37263,BOEING,737-824,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N75853,BOEING,757-324,2002.0,2002.0,ROLLS-ROYC,RB211-535E4C,Fixed Wing Multi-Engine,UA
N37408,BOEING,737-924,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N36472,BOEING,737-924ER,2013.0,2013.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N489UA,AIRBUS,A320-232,2002.0,2002.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N75436,BOEING,737-924ER,2009.0,2009.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N472UA,AIRBUS,A320-232,2001.0,2013.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N822UA,AIRBUS,A319-131,1998.0,2013.0,IAE,V2522-A5,Fixed Wing Multi-Engine,UA
N36247,BOEING,737-824,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N53442,BOEING,737-924ER,2009.0,2009.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N476UA,AIRBUS,A320-232,2001.0,2013.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N512UA,BOEING,757-222,1990.0,2016.0,P & W,PW2040,Fixed Wing Multi-Engine,UA
N31412,BOEING,737-924,2002.0,2002.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N27958,BOEING,787-9,2015.0,2015.0,GE,GENX-1B74/75/,Fixed Wing Multi-Engine,UA
N57868,BOEING,757-33N,2002.0,2002.0,ROLLS-ROYC,RB211-535E4C,Fixed Wing Multi-Engine,UA
N26210,BOEING,737-824,1998.0,2017.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N76528,BOEING,737-824,2010.0,2011.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
N41140,BOEING,757-224,2000.0,2000.0,ROLLS-ROYC,RB211-535E4B,Fixed Wing Multi-Engine,UA
N56859,BOEING,757-324,2004.0,2004.0,ROLLS-ROYC,RB211-535E4C,Fixed Wing Multi-Engine,UA
N17133,BOEING,757-224,1998.0,1998.0,ROLLS-ROYC,RB211-535E4B,Fixed Wing Multi-Engine,UA
N474UA,AIRBUS,A320-232,2001.0,2013.0,IAE,V2527-A5,Fixed Wing Multi-Engine,UA
N57862,BOEING,757-33N,2001.0,2001.0,ROLLS-ROYC,RB211-535E4C,Fixed Wing Multi-Engine,UA
N77867,BOEING,757-33N,2002.0,2002.0,ROLLS-ROYC,RB211-535E4C,Fixed Wing Multi-Engine,UA
N834UA,AIRBUS,A319-131,2001.0,2013.0,IAE,V2522-A5,Fixed Wing Multi-Engine,UA
N825UA,AIRBUS,A319-131,1999.0,2013.0,IAE,V2522-A5,Fixed Wing Multi-Engine,UA
N69888,BOEING,737-924ER,2015.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,UA
