tail_num,mfr_name,model,year,cert_year,eng_mfr_name,eng_model,aircraft_type,carrier
N3754A,BOEING,737-832,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N923DL,MCDONNELL DOUGLAS,MD-88,1988.0,2017.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N551NW,BOEING,757-251,2001.0,2009.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N334NW,AIRBUS,A320-212,1992.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N675DL,BOEING,757-232,1992.0,2018.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N309US,AIRBUS,A320-211,1990.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N940DL,MCDONNELL DOUGLAS,MD-88,1989.0,1989.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N920DL,MCDONNELL DOUGLAS,MD-88,1988.0,2018.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N357NW,AIRBUS,A320-212,1998.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N199DN,BOEING,767-332ER,1998.0,1998.0,P & W,PW4060,Fixed Wing Multi-Engine,DL
N943AT,BOEING,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N3733Z,BOEING,737-832,2000.0,2000.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N925AT,BOEING,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N973DL,MCDONNELL DOUGLAS,MD-88,1991.0,2017.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N907DE,MCDONNELL DOUGLAS,MD-88,1992.0,1992.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N905DA,MCDONNELL DOUGLAS,MD-90-30,1995.0,1995.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N927DN,BOEING,MD-90-30,1999.0,2010.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N302NB,AIRBUS,A319-114,1999.0,1999.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N966DL,MCDONNELL DOUGLAS,MD-88,1990.0,2011.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N341NW,AIRBUS,A320-212,1992.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N970AT,BOEING,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N328NW,AIRBUS,A320-211,1992.0,2016.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N608AT,BOEING,717-200,2000.0,2009.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N913DL,MCDONNELL DOUGLAS,MD-88,1988.0,2016.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N378NW,AIRBUS,A320-211,2003.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N703TW,BOEING,757-2Q8,1996.0,2013.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N927DA,MCDONNELL DOUGLAS,MD-88,1988.0,1988.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N752AT,BOEING,757-212,1984.0,1996.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N915DL,MCDONNELL DOUGLAS,MD-88,1988.0,2015.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N955DN,MCDONNELL DOUGLAS,MD-90-30,1996.0,2011.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N842DN,BOEING,737-932ER,2015.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N538US,BOEING,757-251,1996.0,2007.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N352NW,AIRBUS,A320-212,1998.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N681DA,BOEING,757-232,1993.0,2017.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N6716C,BOEING,757-232,2001.0,2001.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N965DL,MCDONNELL DOUGLAS,MD-88,1990.0,2007.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N976DL,MCDONNELL DOUGLAS,MD-88,1991.0,2016.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N951DN,MCDONNELL DOUGLAS,MD-90-30,1997.0,2013.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N683DA,BOEING,757-232,1993.0,2018.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N546US,BOEING,757-251,1996.0,2009.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N370NB,AIRBUS,A319-114,2003.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N347NW,AIRBUS,A320-212,1993.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N910DL,MCDONNELL DOUGLAS,MD-88,1987.0,2018.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N971AT,BOEING,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N981DL,MCDONNELL DOUGLAS,MD-88,1991.0,2010.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N603AT,BOEING,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N362NW,AIRBUS,A320-212,1998.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N959AT,BOEING,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N338NW,AIRBUS,A320-212,1992.0,2014.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N343NB,AIRBUS,A319-114,2002.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N584NW,BOEING,757-351,2002.0,2009.0,P & W,PW2040,Fixed Wing Multi-Engine,DL
N924AT,BOEING,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N3739P,BOEING,737-832,2000.0,2000.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N3757D,BOEING,737-832,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N377DA,BOEING,737-832,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N358NB,AIRBUS,A319-114,2003.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N67171,BOEING,757-232,2001.0,2001.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N916DE,MCDONNELL DOUGLAS,MD-88,1993.0,1993.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N982AT,BOEING,717-200,2002.0,2003.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N909DE,MCDONNELL DOUGLAS,MD-88,1992.0,1992.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N819DN,BOEING,737-932ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N989AT,BOEING,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N906DA,MCDONNELL DOUGLAS,MD-90-30,1995.0,1995.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N6701,BOEING,757-232,1999.0,1999.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N668DN,BOEING,757-232,1991.0,2017.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N910AT,BOEING,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N958DL,MCDONNELL DOUGLAS,MD-88,1990.0,2018.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N391DA,BOEING,737-832,2000.0,2000.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N933AT,BOEING,717-200,2000.0,2000.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N904DE,MCDONNELL DOUGLAS,MD-88,1992.0,1992.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N913DE,MCDONNELL DOUGLAS,MD-88,1993.0,1993.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N1611B,BOEING,767-332ER,2000.0,2000.0,GE,CF6-80C2,Fixed Wing Multi-Engine,DL
N303DQ,BOEING,737-732,2008.0,2008.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N994AT,BOEING,717-200,2002.0,2002.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N824DN,BOEING,737-932ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N956DL,MCDONNELL DOUGLAS,MD-88,1990.0,2016.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N906DL,MCDONNELL DOUGLAS,MD-88,1987.0,2018.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N333NB,AIRBUS,A319-114,2001.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N964DL,MCDONNELL DOUGLAS,MD-88,1990.0,2018.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N896AT,BOEING,717-200,2005.0,2005.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N907DL,MCDONNELL DOUGLAS,MD-88,1987.0,2018.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N971DL,MCDONNELL DOUGLAS,MD-88,1991.0,2011.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N315US,AIRBUS,A320-211,1991.0,2013.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N321NB,AIRBUS,A319-114,2001.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N910DN,MCDONNELL DOUGLAS,MD-90-30,1995.0,1996.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N904DL,MCDONNELL DOUGLAS,MD-88,1987.0,2009.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N827DN,BOEING,737-932ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N920AT,BOEING,717-200,2000.0,2001.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N812DN,BOEING,737-932ER,2013.0,2013.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N371NB,AIRBUS,A319-114,2003.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N821DN,BOEING,737-932ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N316US,AIRBUS,A320-211,1991.0,2013.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N915DE,MCDONNELL DOUGLAS,MD-88,1993.0,1993.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N536US,BOEING,757-251,1995.0,2015.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N3749D,BOEING,737-832,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N836DN,BOEING,737-932ER,2015.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N914DL,MCDONNELL DOUGLAS,MD-88,1988.0,2015.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N673DL,BOEING,757-232,1992.0,1992.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N933DL,MCDONNELL DOUGLAS,MD-88,1989.0,1989.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N552NW,BOEING,757-251,2001.0,2009.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N3761R,BOEING,737-832,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N322NB,AIRBUS,A319-114,2001.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N6704Z,BOEING,757-232,2000.0,2000.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N959DL,MCDONNELL DOUGLAS,MD-88,1990.0,2016.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N383DN,BOEING,737-832,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N961DN,BOEING,MD-90-30,1998.0,2011.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N960DL,MCDONNELL DOUGLAS,MD-88,1990.0,2016.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N582NW,BOEING,757-351,2002.0,2009.0,P & W,PW2040,Fixed Wing Multi-Engine,DL
N588NW,BOEING,757-351,2003.0,2009.0,P & W,PW2040,Fixed Wing Multi-Engine,DL
N951DL,MCDONNELL DOUGLAS,MD-88,1990.0,1990.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N660DL,BOEING,757-232,1990.0,2017.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N926DL,MCDONNELL DOUGLAS,MD-88,1988.0,1988.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N382DA,BOEING,737-832,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N917DL,MCDONNELL DOUGLAS,MD-88,1988.0,2017.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N807DN,BOEING,737-932ER,2013.0,2013.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N594NW,BOEING,757-351,2003.0,2009.0,P & W,PW2040,Fixed Wing Multi-Engine,DL
N556NW,BOEING,757-251,2002.0,2009.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N963DN,BOEING,MD-90-30,1999.0,2011.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N924DL,MCDONNELL DOUGLAS,MD-88,1988.0,2015.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N349NW,AIRBUS,A320-212,1993.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N972DL,MCDONNELL DOUGLAS,MD-88,1991.0,2017.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N993AT,BOEING,717-200,2002.0,2002.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N804DN,BOEING,737-932ER,2013.0,2013.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N345NW,AIRBUS,A320-212,1993.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N3741S,BOEING,737-832,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N3735D,BOEING,737-832,2000.0,2000.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N385DN,BOEING,737-832,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N1610D,BOEING,767-332ER,2000.0,2000.0,GE,CF6-80C2,Fixed Wing Multi-Engine,DL
N366NW,AIRBUS,A320-212,1999.0,1999.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N339NB,AIRBUS,A319-114,2002.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N306DQ,BOEING,737-732,2009.0,2009.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N905DE,MCDONNELL DOUGLAS,MD-88,1992.0,1992.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N948AT,BOEING,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N326US,AIRBUS,A320-211,1991.0,2015.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N944AT,BOEING,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N395DN,BOEING,737-832,2000.0,2000.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N379DA,BOEING,737-832,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N983DL,MCDONNELL DOUGLAS,MD-88,1991.0,2015.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N928AT,BOEING,717-200,2000.0,2000.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N964DN,BOEING,MD-90-30,1999.0,2011.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N688DL,BOEING,757-232,1998.0,1998.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N952DL,MCDONNELL DOUGLAS,MD-88,1990.0,2018.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N910DE,MCDONNELL DOUGLAS,MD-88,1992.0,1992.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N815DN,BOEING,737-932ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N947DL,MCDONNELL DOUGLAS,MD-88,1989.0,1990.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N974DL,MCDONNELL DOUGLAS,MD-88,1991.0,2010.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N947AT,BOEING,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N840DN,BOEING,737-932ER,2015.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N317US,AIRBUS,A320-211,1991.0,2013.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N975DL,MCDONNELL DOUGLAS,MD-88,1991.0,2018.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N957DL,MCDONNELL DOUGLAS,MD-88,1990.0,2016.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N934AT,BOEING,717-200,2000.0,2000.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N942DL,MCDONNELL DOUGLAS,MD-88,1989.0,1989.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N3742C,BOEING,737-832,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N822DN,BOEING,737-932ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N818DA,BOEING,737-932ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N802DN,BOEING,737-932ER,2013.0,2013.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N695DL,BOEING,757-232,1998.0,1998.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N984DL,MCDONNELL DOUGLAS,MD-88,1991.0,1991.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N555NW,BOEING,757-251,2002.0,2009.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N1402A,BOEING,767-332,1993.0,2011.0,P & W,PW4060,Fixed Wing Multi-Engine,DL
N340NB,AIRBUS,A319-114,2002.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N945DN,BOEING,MD-90-30,1998.0,2012.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N980DL,MCDONNELL DOUGLAS,MD-88,1991.0,2018.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N954DL,MCDONNELL DOUGLAS,MD-88,1990.0,2016.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N585NW,BOEING,757-351,2002.0,2009.0,P & W,PW2040,Fixed Wing Multi-Engine,DL
N942AT,BOEING,717-200,1999.0,2014.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N908DL,MCDONNELL DOUGLAS,MD-88,1987.0,2018.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N3736C,BOEING,737-832,2000.0,2000.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N911DL,MCDONNELL DOUGLAS,MD-88,1987.0,2017.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N918DL,MCDONNELL DOUGLAS,MD-88,1988.0,2016.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N384DA,BOEING,737-832,1999.0,1999.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N337NW,AIRBUS,A320-212,1992.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N557NW,BOEING,757-251,2002.0,2009.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N3765,BOEING,737-832,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N3760C,BOEING,737-832,2001.0,2001.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N595NW,BOEING,757-351,2003.0,2009.0,P & W,PW2040,Fixed Wing Multi-Engine,DL
N6705Y,BOEING,757-232,2000.0,2000.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N995DL,MCDONNELL DOUGLAS,MD-88,1991.0,1992.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N958DN,MCDONNELL DOUGLAS,MD-90-30,1997.0,2011.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N930DL,MCDONNELL DOUGLAS,MD-88,1988.0,1988.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N954DN,MCDONNELL DOUGLAS,MD-90-30,1996.0,2011.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N322US,AIRBUS,A320-211,1991.0,2015.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N942DN,MCDONNELL DOUGLAS,MD-90-30,1997.0,2012.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N935DN,MCDONNELL DOUGLAS,MD-90-30,1996.0,2016.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N816DN,BOEING,737-932ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N970DL,MCDONNELL DOUGLAS,MD-88,1990.0,2014.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N981AT,BOEING,717-200,2002.0,2003.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N344NW,AIRBUS,A320-212,1992.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N946DL,MCDONNELL DOUGLAS,MD-88,1989.0,1989.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N702TW,BOEING,757-2Q8,1996.0,2014.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N917DE,MCDONNELL DOUGLAS,MD-88,1993.0,1993.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N919AT,BOEING,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N848DN,BOEING,737-932ER,2015.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N680DA,BOEING,757-232,1992.0,1992.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N937AT,BOEING,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N813DN,BOEING,737-932ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N967AT,BOEING,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N309DE,BOEING,737-732,2009.0,2009.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N962DN,BOEING,MD-90-30,1998.0,2011.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N820DN,BOEING,737-932ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N693DL,BOEING,757-232,1998.0,1998.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N828DN,BOEING,737-932ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N310DE,BOEING,737-732,2009.0,2009.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N903DE,MCDONNELL DOUGLAS,MD-88,1992.0,1992.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N843DN,BOEING,737-932ER,2015.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N913DN,MCDONNELL DOUGLAS,MD-90-30,1996.0,1997.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N846DN,BOEING,737-932ER,2015.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N906AT,BOEING,717-200,2001.0,2001.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N972AT,BOEING,717-200,2001.0,2002.0,ROLLS-ROYC,BR700-715,Fixed Wing Multi-Engine,DL
N940DN,MCDONNELL DOUGLAS,MD-90-30,1997.0,2012.0,IAE,V2528-D5,Fixed Wing Multi-Engine,DL
N686DA,BOEING,757-232,1995.0,1995.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N369NW,AIRBUS,A320-212,1999.0,1999.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N967DL,MCDONNELL DOUGLAS,MD-88,1990.0,2011.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N361NW,AIRBUS,A320-212,1998.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N375NC,AIRBUS,A320-212,2002.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N837DN,BOEING,737-932ER,2015.0,2015.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N825DN,BOEING,737-932ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N330NW,AIRBUS,A320-211,1992.0,2016.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N319US,AIRBUS,A320-211,1991.0,2013.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N692DL,BOEING,757-232,1998.0,1998.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N335NW,AIRBUS,A320-212,1992.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N326NB,AIRBUS,A319-114,2001.0,2009.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N342NW,AIRBUS,A320-212,1992.0,2015.0,CFM INTL,CFM56-5A,Fixed Wing Multi-Engine,DL
N6710E,BOEING,757-232,2000.0,2000.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N968DL,MCDONNELL DOUGLAS,MD-88,1990.0,2014.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N139DL,BOEING,767-332ER,1992.0,1992.0,GE,CF6-80C2,Fixed Wing Multi-Engine,DL
N3768,BOEING,737-832,2002.0,2002.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N977DL,MCDONNELL DOUGLAS,MD-88,1991.0,2014.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N189DN,BOEING,767-332ER,1997.0,1997.0,P & W,PW4060,Fixed Wing Multi-Engine,DL
N987DL,MCDONNELL DOUGLAS,MD-88,1991.0,1991.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N941DL,MCDONNELL DOUGLAS,MD-88,1989.0,1989.0,P & W,JT8D-219,Fixed Wing Multi-Engine,DL
N590NW,BOEING,757-351,2003.0,2009.0,P & W,PW2040,Fixed Wing Multi-Engine,DL
N722TW,BOEING,757-231,1999.0,2013.0,P & W,PW2037,Fixed Wing Multi-Engine,DL
N304DQ,BOEING,737-732,2008.0,2008.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
N817DN,BOEING,737-932ER,2014.0,2014.0,CFM INTL,CFM56-7B,Fixed Wing Multi-Engine,DL
